Champion:,Health,Health Scaling,Health Regen,Health Regen Scaling,Mana,Mana Scaling,Mana Regen,Mana Regen Scaling,Attack Damage,Attack Damage Scaling,Attack Speed,Attack Speed Scaling,Armor,Armor Scaling,Magic Resist,Magic Resist Scaling,Movement Speed,Range
Aatrox,580,90,3,1,0,0,0,0,60,5,0.651,2.50%,38,3.25,32.1,1.25,345,175
Ahri,526,92,6.5,0.6,418,25,8,0.8,53.04,3,0.668,2.00%,20.88,3.5,30,0.5,330,550
Akali,575,95,8,0.5,200,0,50,0,62.4,3.3,0.625,3.20%,23,3.5,37,1.25,345,125
Alistar,600,106,8.5,0.85,350,40,8.5,0.8,62,3.75,0.625,2.13%,44,3.5,32.1,1.25,330,125
Amumu,613.12,84,9,0.85,287.2,40,7.382,0.525,53.38,3.8,0.736,2.18%,33,3.8,32.1,1.25,335,125
Anivia,480,82,5.5,0.55,495,25,8,0.8,51.376,3.2,0.625,1.68%,21.22,4,30,0.5,325,600
Annie,524,88,5.5,0.55,418,25,8,0.8,50.41,2.625,0.579,1.36%,19.22,4,30,0.5,335,625
Aphelios,530,88,3.25,0.55,348,42,6.5,0.4,57,2,0.64,2.10%,28,3,26,0.5,325,550
Ashe,570,87,3.5,0.55,280,32,6.972,0.4,61,2.96,0.658,3.33%,26,3.4,30,0.5,325,600
Aurelion Sol,575,92,7,0.6,350,50,6,0.8,57,3.2,0.625,1.36%,19,3.6,30,0.5,325,550
Azir,552,92,7,0.75,480,21,8,0.8,52,2.8,0.625,3.00%,19.04,3,30,0.5,335,525
Bard,575,89,5.5,0.55,350,50,6,0.45,52,3,0.625,2.00%,34,4,30,0.5,330,500
Blitzcrank,582.6,95,8.5,0.75,267.2,40,8.5,0.8,61.54,3.5,0.625,1.13%,37,3.5,32.1,1.25,325,125
Brand,519.68,88,5.5,0.55,469,21,10.665,0.6,57.04,3,0.625,1.36%,21.88,3.5,30,0.5,340,550
Braum,540,98,8.5,1,310.6,45,6,0.8,55.376,3.2,0.644,3.50%,47,4,32.1,1.25,335,125
Caitlyn,510,93,3.5,0.55,313.7,35,7.4,0.55,62,2.88,0.681,4.00%,28,3.5,30,0.5,325,650
Camille,575.6,85,8.5,0.8,338.8,32,8.15,0.75,68,3.5,0.644,2.50%,35,3.8,32.1,1.25,340,125
Cassiopeia,560,90,5.5,0.5,350,40,8,0.8,53,3,0.647,1.50%,18,3.5,32,0.5,328,550
Cho'Gath,574.4,80,9,0.85,272.2,40,7.206,0.45,69,4.2,0.625,1.44%,38,3.5,32.1,1.25,345,125
Corki,518,87,5.5,0.55,350.16,34,7.424,0.55,55,2.5,0.638,2.30%,28,3.5,30,0.5,325,550
Darius,582.24,100,10,0.95,263,37.5,6.6,0.35,64,5,0.625,1.00%,39,4,32.1,1.25,340,175
Diana,570,95,7.5,0.85,375,25,8,0.8,57,3,0.625,2.25%,31,3.6,32.1,1.25,345,150
